singer,song_name,song_id
杨和苏KeyNG,"""她""",1394123837
蔡徐坤,#0000FF,1837046957
THOME,#1 PUBLIC ENEMY,2705473724
谢安琪,(一个男人) 一个女人和浴室,1323303435
陈绮贞,(失明前)我想记得的47件事,67903
鞠婧祎,0.2s,1921230284
TizzyT,020,464015510
陈小春,0932,63980
THOME,1 AM,2013290415
鹿晗,1.1,2112776830
TizzyT,100,1983456716
TINY7,1000freestyle（Zipcodes JoeyBada$$ remix）,2047892963
卢广仲,100种生活,109616
梨冻紧,1015,1972641563
葛东琪,102BPM,1865854825
张芸京,1030,328097
G.E.M.邓紫棋,11,2093526245
队长,11,1907766514
Aioz,1200KM,2104675626
邹沛沛,121,2696412028
张震岳,123,354799
方大同,1234567,82177
陈绮贞,1234567,209402
余佳运,12AM,512358238
周柏豪,12号,2648088751
张芸京,12月25日,428203693
刘思达LOFTHESTAR,12点钟的方向,2081170392
高旭,12点钟的方向,2081170392
金玟岐,13,440411569
沈以诚,15楼窗外,1847929015
容祖儿,16号爱人,287011
李宗盛,17岁女生的温柔,109021
谢安琪,17度,308316
孙燕姿,180度,286966
陈慧娴,1874 (Live),29019489
郭顶,1985,85610
梨冻紧,1998,1935752879
MC HotDog 热狗,1到10=我和你,229185
范玮琪,1到10=我和你,229185
Gareth.T,2 more weeks,1490841101
THOME,2 of us,2013291289
马思唯,2 of us,2013291289
郭采洁,2.Oak,1903654107
蓝心羽,2019无敌大串烧 (翻自 群星),1385126398
双笙（陈元汐）,2019～予你成歌～,1344200357
封茗囧菌,2019～予你成歌～,1344200357
阿YueYue,2021～听风捕梦～,1819221726
封茗囧菌,2021～听风捕梦～,1819221726
司南,2021～听风捕梦～,1819221726
余佳运,2022北京欢迎你,1915524646
kkluv,2062KM,2718584696
花粥,20岁的某一天,1386711762
NINEONE#乃万,22,1357985446
Aioz,22秒,1849998058
艾志恒Asen,23,2057539568
郭顶,23%,1929369958
潘玮柏,24个比利,139458
杨坤,24楼,254253
梁咏琪,25,255520
TINY7,25 Vibe,1856661319
江辰,2ML,552077916
古巨基,2nd Favourite 第二最爱,2069931450
谢安琪,3/8,308349
AGA,3AM,469508217
VaVa娃娃,4,1307615585
郭顶,421-6-701,1929364401
梨冻紧,4AM,1846115585
罗言,4RED,1880167690
万妮达Vinida Weng,4U,1335841187
LBI利比,5.20,2649644427
江辰,6%,1335986185
陈绮贞,80%完美的日子,209248
高旭,826,1439193263
法老,88 riping,1988564488
加木,8EVE,1969433109
KONI可妮,9420 麦小兜,2686605307
NINEONE#乃万,991,1493255233
郭顶,996,1929364429
很美味,99次我爱他,2135242071
kkluv,9TOP,2148786276
杨乃文,A Dream of Bonnie and Clyde feat. JADE,2065178698
喻言,A Little Bit (Live),1452434221
周兴哲,A Little Bit Yours x Eric Chou,1937943995
G.E.M.邓紫棋,A.I.N.Y.,26154890
G.E.M.邓紫棋,A.I.N.Y. 爱你,234015
法老,AFK（feat.Buzzy）,1321385074
kkluv,ALL IN MY HEAD,1923483972
TINY7,AM,1839651984
马思唯,ASIAN STATE OF MIND,2674696866
kkluv,Acardion,2148786998
kkluv,Accordion+ Brazil (Live),2603345049
孙盛希,Adddicted (feat. Karencici),2104293637
陈绮贞,After 17,26348057
卢广仲,After dinner,109506
蔡徐坤,Afterglow,2613383954
张靓颖,All Of Me (live),31877579
潘玮柏,All the way up (LIVE版),1971817689
余佳运,Almost Home,501220106
Wiz_H张子豪,Alone,2703701070
Lunak,Always Been You,2689631825
林俊杰,Always Online,108485
陶喆,Angel,150558
万妮达Vinida Weng,Angel Said,1335841190
Zy,Anybody else but u,2144820921
很美味,April Encounter,551400874
金玟岐,Are You,1817688580
希林娜依高,Are You Happy Now,2624184331
Lil Ghost小鬼,Artist (Live),543987405
Lunak,Avid (Phonk),2714023365
刘思达LOFTHESTAR,Aye,1358442062
高睿,BACK SEAT,2120532936
THOME,BAD BAD,2009226782
kkluv,BAD BAD,2009226782
方大同,BB88,81890
邹沛沛,BE MY 2022 DEMO,1907920323
艾志恒Asen,BERRY,1403756319
刘大拿,BINGBIAN病变·2024,2109685246
王心凌,BITE BACK,2079350542
TINY7,BLUE BLUE,2614455932
TINY7,BORN,1970108193
kkluv,BRAZIL,2146490314
沙一汀EL,Baba Says,2149062759
罗言,Babe,2061964454
马思唯,Babe,2061964454
艾志恒Asen,Babe,2061964454
DJ阿智,Baby I'm Sorry（DJ阿智版）,2159356883
郁可唯,Baby Sister,363106
刘惜君,Baby Sister,363106
曾舜晞,Baby's romance (Goldwave instruments),505267131
曾舜晞,Baby's romance (Goldwave remixed),505267130
高睿,"Baby, Don't Cry",2650537301
艾志恒Asen,Back 2 Back,1995339512
马思唯,Bad,2683304744
张惠妹,Bad Boy(Live),326854
喻言,Bad Girl,37720220
艾志恒Asen,Bars,2061966702
马思唯,Bars,2061966702
鞠婧祎,Be my POI,2007373904
THOME,Beautiful,1847219367
蔡健雅,Beautiful Love,208963
刘大拿,Beautiful Love,2049512721
Gareth.T,Benjamin Franklin,1428655929
马思唯,Best Friend (Remix) 好朋友,1848204642
薛凯琪,Better Me,28068286
AGA,Better Me (Home demo : Butterscotch),28453009
蔡徐坤,Bigger,1352818863
郭采洁,Bird n' Tree,38392813
喻言,Black Key,2042603701
Wiz_H张子豪,Blanca,1418332092
Capper,Bloody Black + 周日 (Live),2720118695
TizzyT,Bloody Black + 周日 (Live),2720118695
Gareth.T,Bloom,1454975742
VaVa娃娃,Blossoms,1343008883
丁当,Blue Bird,1482684451
沈以诚,Blue Dress,561438803
蓝心羽,Blue Feather,1400658852
Zy,Blue I,2709498576
kkluv,Blue Lacoste,2148786275
罗言,Body Rock,2156161159
杨乃文,Body Sing,1403539247
TINY7,Bored,1861945789
GAI周延,Boss Of Boss（feat. GAI周延/谢帝）,2096458224
Gareth.T,Bread and Better (feat. Keung To & Gentle Bones),2121709843
万妮达Vinida Weng,Break My Heart,2096554882
Lunak,Breath In My Lungs,2111929465
Lunak,Breath of Ocean,2687360653
谭维维,Bridge of Faith,461519911
王力宏,Bridge of Faith,461519911
梁博,Bruce Lee,28445719
step.jad依加,Bubble Summer,2051505971
NINEONE#乃万,But U,1459232593
艾志恒Asen,Butterflies,1437030961
傲七爷（江偌绮）,Bye in the midnight,2714092350
买辣椒也用券,B面唱片,1882085148
VaVa娃娃,C.O.M Freestyle (feat.GALI),2666596840
step.jad依加,CD盒,1907765990
Aioz,COCO,1436076578
罗言,COCO,2047036108
Gareth.T,CRUSH,1454970953
h3R3,CRUSH,1496587248
刘思达LOFTHESTAR,CRUSH,1496587248
kkluv,CRYSTAL Ⅰ,1895442656
Gareth.T,CUTIE,2055385119
阿肆,Call Me,529824286
DJ阿布,Call Me Now（DJ阿布Remix）,2709013389
王力宏,Can You Feel My World,25642868
萧亚轩,Cappuccino,307677
邓丽君,Careless Whisper,226313
