歌手,歌曲,歌曲链接
林俊杰,Always Online,https://music.163.com/song?id=108485
林俊杰,愿与愁,https://music.163.com/song?id=2041026502
林俊杰,江南,https://music.163.com/song?id=108914
林俊杰,当你,https://music.163.com/song?id=108251
林俊杰,可惜没如果,https://music.163.com/song?id=29814898
林俊杰,我还想她,https://music.163.com/song?id=108493
林俊杰,将故事写成我们,https://music.163.com/song?id=1391477429
林俊杰,美人鱼,https://music.163.com/song?id=108931
林俊杰,修炼爱情,https://music.163.com/song?id=25727803
林俊杰,心墙,https://music.163.com/song?id=108263
林俊杰,不潮不用花钱,https://music.163.com/song?id=108463
林俊杰,加油！,https://music.163.com/song?id=108406
林俊杰,达尔文,https://music.163.com/song?id=2019573476
林俊杰,新地球,https://music.163.com/song?id=29774171
林俊杰,那些你很冒险的梦,https://music.163.com/song?id=108138
林俊杰,学不会,https://music.163.com/song?id=108134
林俊杰,她说,https://music.163.com/song?id=108242
林俊杰,茉莉雨,https://music.163.com/song?id=1366053680
林俊杰,背对背拥抱,https://music.163.com/song?id=26305547
林俊杰,浪漫血液,https://music.163.com/song?id=29850683
林俊杰,手心的蔷薇,https://music.163.com/song?id=29848657
林俊杰,不为谁而作的歌,https://music.163.com/song?id=1468115100
林俊杰,裂缝中的阳光,https://music.163.com/song?id=25794009
林俊杰,爱笑的眼睛,https://music.163.com/song?id=108245
林俊杰,曹操,https://music.163.com/song?id=108795
林俊杰,醉赤壁,https://music.163.com/song?id=108478
林俊杰,过,https://music.163.com/song?id=1804879213
林俊杰,不死之身,https://music.163.com/song?id=108810
林俊杰,一生的爱,https://music.163.com/song?id=108267
林俊杰,爱不会绝迹,https://music.163.com/song?id=108428
林俊杰,我怀念的 (Live),https://music.163.com/song?id=440207933
林俊杰,冻结,https://music.163.com/song?id=108965
林俊杰,恨幸福来过,https://music.163.com/song?id=2019562367
林俊杰,小酒窝,https://music.163.com/song?id=26305541
林俊杰,一千年以后,https://music.163.com/song?id=108886
林俊杰,飞云之下,https://music.163.com/song?id=554242032
林俊杰,爱要怎么说出口 (Live),https://music.163.com/song?id=450222687
林俊杰,黑武士,https://music.163.com/song?id=108473
林俊杰,第几个100天,https://music.163.com/song?id=26305544
林俊杰,只对你有感觉,https://music.163.com/song?id=108248
林俊杰,一眼万年,https://music.163.com/song?id=108254
林俊杰,记得,https://music.163.com/song?id=108269
林俊杰,光阴副本,https://music.163.com/song?id=2659883777
林俊杰,崇拜 (Live),https://music.163.com/song?id=453491018
林俊杰,一时的选择,https://music.163.com/song?id=2039156375
林俊杰,杀手,https://music.163.com/song?id=108543
林俊杰,期待爱,https://music.163.com/song?id=26305545
林俊杰,那女孩对我说,https://music.163.com/song?id=2019574451
林俊杰,交换余生,https://music.163.com/song?id=1479003964
林俊杰,豆浆油条,https://music.163.com/song?id=108910
陈奕迅,孤独患者,https://music.163.com/song?id=64093
陈奕迅,富士山下,https://music.163.com/song?id=65766
陈奕迅,稳稳的幸福,https://music.163.com/song?id=25730757
陈奕迅,淘汰,https://music.163.com/song?id=65528
陈奕迅,最佳损友,https://music.163.com/song?id=65800
陈奕迅,爱情转移,https://music.163.com/song?id=65536
陈奕迅,十年,https://music.163.com/song?id=66842
陈奕迅,不要说话,https://music.163.com/song?id=25906124
陈奕迅,十面埋伏,https://music.163.com/song?id=409931770
陈奕迅,好久不见,https://music.163.com/song?id=65538
陈奕迅,阴天快乐,https://music.163.com/song?id=28563317
陈奕迅,葡萄成熟时,https://music.163.com/song?id=66285
陈奕迅,孤勇者,https://music.163.com/song?id=1901371647
陈奕迅,单车,https://music.163.com/song?id=65592
陈奕迅,红玫瑰,https://music.163.com/song?id=65533
陈奕迅,因为爱情,https://music.163.com/song?id=64317
陈奕迅,浮夸,https://music.163.com/song?id=66282
陈奕迅,落花流水,https://music.163.com/song?id=64922
陈奕迅,陪你度过漫长岁月,https://music.163.com/song?id=35403523
陈奕迅,苦瓜,https://music.163.com/song?id=64293
陈奕迅,无条件,https://music.163.com/song?id=473194652
陈奕迅,K歌之王,https://music.163.com/song?id=67467
陈奕迅,陀飞轮,https://music.163.com/song?id=64638
陈奕迅,内疚,https://music.163.com/song?id=64126
陈奕迅,一丝不挂,https://music.163.com/song?id=64634
陈奕迅,岁月如歌,https://music.163.com/song?id=66823
